"GSM279601_MIX_A.CEL" "GSM279602_MIX_A.CEL" "GSM279603_MIX_A.CEL" "GSM279604_MIX_B.CEL" "GSM279605_MIX_B.CEL" "GSM279606_MIX_B.CEL" "GSM279607_MIX_C.CEL" "GSM279608_MIX_C.CEL" "GSM279609_MIX_C.CEL" "GSM279610_MIX_D.CEL" "GSM279611_MIX_D.CEL" "GSM279612_MIX_D.CEL"
"THRA" 5.28188500301897 5.44431424437472 5.45843646435203 5.44216748029363 5.36637553967593 5.39066252746768 5.48835564624355 5.43501870176131 5.3671656507797 5.39709820045083 5.43805590446953 5.29412279695709
"CCL5" 8.60284386331629 8.49822899149171 8.49677973961776 9.43138953172972 9.27305790361349 9.41654971390982 10.1585284921322 9.99546083726904 9.80827987851705 9.24435793075316 9.52562044259336 9.29176056678747
"TIMD4" 5.83996725376918 5.5706318515403 6.06653911523647 5.98734727509804 6.68487809696817 6.16050057993139 6.23872762145886 6.08331425137695 6.50721646575052 6.01382593012781 5.92606686557499 6.31301992729494
"TMEM196" 5.89973865855097 6.03685153736521 5.99210490251004 6.08903749913457 6.04148195976369 5.99020264484788 6.01573288871539 6.01288458254431 5.95607001293308 5.849143417885 6.13263249994664 5.86185143591802
"TMEM106A" 5.61985483555969 5.6263622194879 5.36140345946277 5.71672238402353 5.45519755622123 5.65724386936856 5.77880810064608 5.72035242865841 5.49976707025876 5.52701653668288 5.79210289352621 5.36484211584921
"NEXN" 4.45980953322468 4.85391416543535 4.53844613373365 4.5345759163488 4.58694140900182 4.61492422107357 4.93483879395267 4.88053587403034 5.39913365688161 4.54770082118234 4.76742335374398 5.12103364609027
"GIMAP1" 5.95198560349211 5.83042683762936 5.94155348856749 5.47598086577697 5.21952215263743 5.52537050280157 5.49547194146999 5.33114878535183 5.51014931542254 5.29243404519961 5.56658721169494 5.03852809230667
"CATSPER1" 7.33284418513829 7.28674226507701 7.25071166609793 7.09956760342458 7.01808696645891 7.17663936893102 7.34802594282848 7.19922840013038 7.32323204712468 7.55021192401864 7.52696661886894 7.33520654837942
"SCIN" 4.79357139658359 5.08129270198565 4.78694712077062 4.31788323027745 3.90265169829595 4.25553319971244 4.81678161579604 4.84253742901179 4.90577439669337 5.90333639735376 5.11893942136859 5.33493595155737
"TVP23C" 6.66988475878288 6.79039252673353 6.72261971859813 6.65139383054792 6.75704497250553 6.68656196679607 6.71277349633388 6.79154545876937 6.8938950196039 6.78360415571645 6.79317243325109 6.90145571787417
