"JURKAT" "IM9" "RAJI" "THP1" "Median sample"
"THRA" 5.37640095157685 5.34712725200289 5.33554258557603 5.42304179090084 5.40466656553667
"CCL5" 4.72155185608299 10.9686070331946 5.06010997477542 8.44915832682059 9.61983470512338
"TIMD4" 6.03306307986272 6.24707869897619 5.61292117999541 5.80002826324482 6.11303744827845
"TMEM196" 5.93247812315559 6.01320147393493 6.13264307858501 5.90515939700837 5.98590145082423
"TMEM106A" 5.34429420176335 6.37263738438925 5.87533398422763 5.60697882899098 5.66828860979161
"NEXN" 4.27806910563498 5.26628449330163 3.86161437837945 5.256733052083 4.73470735515073
"GIMAP1" 7.00910520679152 5.35355252857837 5.13337550470455 5.53126267520332 5.50281062844627
"CATSPER1" 6.82918958536149 6.80051566163945 6.64219880685379 7.92960597086916 7.32803811613149
"SCIN" 3.50667821414285 3.64179139574707 3.37690215772331 5.66199684597673 4.80517650618981
"TVP23C" 6.4522468474198 6.55497094144523 6.49022674953276 6.75323969852578 6.69132912755838
"RDH10" 5.44129179748638 5.57276846777649 5.48283084339735 5.32768515614212 5.35986023073922
"SRSF12" 4.0293575065356 3.8040326400908 4.21105813371016 4.25934599077135 4.06323753052258
"GAPT" 4.22855840848338 4.2417874071515 4.79729335435547 8.89324252263279 7.74192019198014
"CLEC12A" 4.90550758615425 4.886143588887 4.90656057411787 5.77712827475895 5.13784577479013
"WDR17" 3.92602275696721 4.13868867988954 4.03929238432862 3.36561434996154 3.64307397770278
"MEGF11" 3.55015858558139 3.53613888877593 3.68127370361174 3.63538854632514 3.48030077836227
"ADAMTSL1" 3.77316776124771 3.89545880571629 3.82234179544153 3.83922611125611 3.80865121142084
"PTPRC" 3.27779522027047 3.38575510105782 3.27408453486431 3.3111884897546 3.20036177993371
"LACTB" 7.11732198827995 6.51687478480369 5.25241546165893 4.9536277364183 5.76244684531734
"SLAMF6" 7.92778316062867 10.0826269420685 9.46616482566497 7.9177829931254 9.1932920176883
"ATP6V1C2" 4.00373890961622 4.1260873244812 4.28374594497422 4.27175499191256 4.07580374002411
"TAGAP" 6.75026228532892 6.84484081915214 7.25741517930697 6.97057458518227 6.93651337150319
"NLRC4" 3.90625065412847 3.82565436104277 4.17804817355477 4.3244632899372 4.07136740305181
"PRSS36" 6.32758133597009 6.262274825925 6.47408640572251 7.47295000421879 6.85181118702956
"IL12RB1" 5.78792217561502 7.67418601075464 6.58880031666533 7.03275231802237 7.0739919945463
"HSH2D" 5.50715976455401 7.51204990125836 8.70795813126892 5.65751375435045 6.92080183098021
"MAP3K6" 5.02169768441833 5.46651411597491 5.42037863995267 6.16622654014758 5.5620300522577
"KLHDC7B" 5.91467577570552 5.91812390323269 6.12989117376026 5.9054850535312 5.86834006145685
"TNFRSF10A" 5.81277067501471 6.93298923566307 8.15240914452757 6.93985722368996 7.07989511801738
"UHMK1" 7.4445088502654 7.46566936193413 7.62270254988529 8.38998094663614 7.70394013761072
"PPP1R3B" 5.40615589714909 5.28416943173181 5.33842935523221 5.55088744317248 5.48448619660027
"CACNA2D4" 6.37124706295023 6.26161933429195 6.20082239980693 6.56469118347333 6.42725737351683
"ARL11" 6.24301567125307 4.02809156586697 8.38068330387548 8.31604259890215 7.55986705676817
"CARD16" 7.68489666246874 8.11804467579002 5.4865335381207 8.48884130504228 7.90804568958623
"RICTOR" 4.27332144658064 4.29710898325985 4.34952546860531 4.06999381046585 4.05376839559954
"NETO1" 6.71720992904867 4.82692079142628 4.39893154949478 4.85021621808314 4.90287182146176
"KCNH8" 4.40439338969282 3.83746928926176 4.02307541131736 4.27537829254396 3.97988178666344
"MCF2L" 5.40639485227846 5.2045352648186 5.3265038053253 5.37438345797327 5.35016306583822
"CADM2" 4.4296845498766 4.46045322660238 4.41298805586734 4.38444540050098 4.42741530537237
"TLR4" 4.89583217071204 5.99396369007624 5.1958802958345 6.05096717033256 5.73845152706911
"STMN1" 3.99495193250475 4.12669506689586 4.14756895403914 4.11810173962755 4.17832454983713
"SIGLEC10" 5.48415141045279 6.06390967815847 6.85274301042816 5.73928774016271 5.88009551060527
"ICK" 3.04744182299879 3.09141697695261 3.13235431601971 3.03197919445896 3.0254861848473
"RAB42" 6.22741256894577 6.32864328100209 6.37916576912019 6.40903643438396 6.42193285505511
"M1AP" 3.54233764292481 3.32522316558494 3.43652890797475 3.5203053386906 3.41201120510709
"TNFRSF13C" 7.12115137036601 7.50702871198003 7.97944411999173 7.28934538118327 7.51744354099253
